"location","ID","Date","CropName","DaysToHarvest","Yield","Emotion"
"A","A8661","2019-02-22","Sorghum",102,1583,"Happy Sad "
"A","A5422","2019-01-05","Sorghum",103,1724,"Angry  "
"A","A3311","2019-03-27","Sorghum",97,1294,"Hungry Sad "
"A","A6366","2019-03-01","Sorghum",98,1224,"Sad Angry "
"A","A6649","2019-04-11","Maize",98,1569,"Hungry Sad "
"A","A7001","2019-03-24","Rice",105,1497,"Hungry Angry "
"A","A7103","2019-01-19","Maize",103,1737,"Hungry Sad "
"A","A2814","2019-02-28","Sorghum",91,1441,"Hungry  "
"A","A9628","2019-03-28","Maize",102,1799,"Happy  "
"A","A7734","2019-03-20","Rice",96,1604,"Hungry  "
"A","A7275","2019-03-18","Sorghum",102,1956,"Angry Happy "
"A","A2653","2019-01-27","Rice",97,1816,"Happy Sad "
"B","B3691","2019-02-15","Sorghum",107,1489,"Angry Sad "
"B","B8106","2019-03-27","Sorghum",104,1386,"Angry Happy "
"B","B1389","2019-03-31","Rice",108,1113,"Hungry Happy "
"B","B8973","2019-03-06","Sorghum",99,1977,"Sad  "
"B","B5395","2019-02-25","Maize",87,1257,"Sad Hungry "
"B","B3881","2019-04-04","Rice",96,1339,"Angry Sad "
"B","B3446","2019-03-19","Rice",95,1546,"Happy Hungry "
"B","B4391","2019-03-20","Maize",106,1624,"Angry Hungry "
"B","B8989","2019-03-24","Rice",104,1207,"Happy Angry "
"B","B6789","2019-02-07","Rice",101,1535,"Angry Hungry "
"B","B4753","2019-03-05","Maize",99,1202,"Angry Sad "
"B","B3697","2019-01-17","Rice",97,1552,"Hungry  "
"C","C1149","2019-03-29","Rice",98,1463,"Hungry Happy "
"C","C1114","2019-02-01","Rice",92,1500,"Happy Sad "
"C","C2326","2019-01-22","Rice",106,1168,"Hungry Happy "
"C","C5192","2019-01-02","Maize",89,1565,"Hungry Angry "
"C","C2049","2019-01-06","Rice",101,1419,"Sad Happy "
"C","C6244","2019-01-22","Sorghum",96,1246,"Happy Angry "
"C","C1627","2019-01-12","Rice",105,1368,"Angry Sad "
"C","C6404","2019-02-13","Rice",109,1751,"Angry Happy "
"C","C7227","2019-04-05","Rice",99,1534,"Angry Hungry "
"C","C2960","2019-01-11","Sorghum",93,1288,"Happy Hungry "
"C","C9046","2019-03-12","Maize",109,1507,"Sad Angry "
"C","C9400","2019-01-12","Rice",100,1215,"Sad Happy "
"D","D7548","2019-04-02","Sorghum",95,1465,"Angry Sad "
"D","D4125","2019-01-22","Maize",98,1502,"Angry Happy "
"D","D5567","2019-01-19","Rice",100,1456,"Sad Hungry "
"D","D6612","2019-01-12","Maize",103,1354,"Hungry Sad "
"D","D3186","2019-03-20","Maize",103,1827,"Angry  "
"D","D1026","2019-01-25","Maize",92,1470,"Angry  "
"D","D5569","2019-01-18","Sorghum",91,1639,"Sad Angry "
"D","D9009","2019-03-29","Rice",91,1732,"Angry Hungry "
"D","D9725","2019-01-22","Maize",90,1744,"Hungry  "
"D","D2007","2019-02-11","Sorghum",104,1672,"Happy Sad "
"D","D8227","2019-01-31","Rice",95,1588,"Sad Happy "
"D","D7199","2019-01-11","Rice",95,1467,"Angry  "
"E","E8487","2019-01-20","Maize",94,1566,"Sad  "
"E","E3815","2019-01-22","Rice",103,2213,"Happy Angry "
"E","E2378","2019-01-27","Sorghum",108,1579,"Sad Happy "
"E","E1069","2019-01-31","Maize",105,1483,"Hungry Angry "
"E","E6458","2019-02-05","Rice",99,1476,"Angry Hungry "
"E","E9623","2019-02-05","Rice",99,1486,"Happy Angry "
"E","E9674","2019-02-20","Sorghum",101,1717,"Hungry Sad "
"E","E9609","2019-01-12","Sorghum",101,1177,"Hungry Happy "
"E","E9015","2019-04-06","Maize",108,1319,"Happy Angry "
"E","E1444","2019-04-06","Sorghum",104,1649,"Angry  "
"E","E3765","2019-03-12","Rice",99,1423,"Angry  "
"E","E4804","2019-03-31","Maize",100,1386,"Sad Happy "
"F","F5942","2019-03-30","Maize",100,1478,"Sad  "
"F","F7484","2019-03-19","Rice",104,1054,"Angry Sad "
"F","F4646","2019-02-18","Sorghum",92,1381,"Happy Sad "
"F","F4464","2019-02-05","Sorghum",96,1342,"Happy Sad "
"F","F3728","2019-02-07","Rice",104,2028,"Hungry Sad "
"F","F9756","2019-04-06","Rice",101,1711,"Hungry Angry "
"F","F1127","2019-03-10","Sorghum",93,1511,"Happy Hungry "
"F","F8134","2019-01-28","Maize",102,1422,"Happy Angry "
"F","F4287","2019-03-14","Rice",99,2090,"Hungry Happy "
